domain,state,area_type,digital_access,github_repos,commits,hackathons,projects,learning_hours,offline_work,experience_years,courses_completed,freelance_projects
Creative Arts,Kerala,Urban,High,2,0,0,13,7,5,0,3,1
Skilled Trades,Madhya Pradesh,Rural,Low,0,0,0,14,5,17,3,1,2
Creative Arts,Tamil Nadu,Urban,High,0,0,0,9,9,6,1,4,2
Skilled Trades,West Bengal,Rural,Medium,0,0,0,17,4,18,4,6,0
Social & Community Work,Punjab,Rural,Low,0,0,0,15,12,12,1,0,2
Social & Community Work,Odisha,Urban,High,0,0,0,8,10,14,4,2,2
Data Science,West Bengal,Urban,High,6,97,7,9,22,0,3,4,3
Data Science,Maharashtra,Urban,Medium,3,96,1,3,15,0,2,4,3
Skilled Trades,Maharashtra,Semi-Urban,Low,0,0,0,16,9,21,0,3,2
Creative Arts,Delhi,Urban,High,0,0,0,13,12,5,7,7,2
Skilled Trades,Other,Semi-Urban,High,0,0,0,13,4,16,3,1,2
Social & Community Work,Telangana,Semi-Urban,High,0,0,0,16,6,11,0,2,3
Business,Karnataka,Urban,High,0,0,1,6,10,2,7,6,1
Business,West Bengal,Semi-Urban,Medium,0,0,1,12,13,1,3,4,1
Business,West Bengal,Urban,High,0,0,0,13,7,2,1,0,3
Skilled Trades,Punjab,Urban,High,0,0,0,16,5,20,4,2,2
Social & Community Work,Other,Semi-Urban,Medium,0,0,0,11,8,10,1,4,6
Business,Odisha,Semi-Urban,Low,0,0,1,4,15,3,0,5,4
Data Science,Gujarat,Urban,High,4,93,4,5,20,0,1,5,1
Data Science,Bihar,Urban,High,6,95,4,5,13,0,3,5,2
Technology,Tamil Nadu,Rural,Medium,5,178,1,3,17,0,4,7,0
Skilled Trades,Bihar,Urban,High,0,0,0,16,2,21,2,2,3
Data Science,Rajasthan,Semi-Urban,Medium,5,105,4,5,17,0,5,5,2
Skilled Trades,Bihar,Urban,High,0,0,0,24,1,29,4,2,2
Skilled Trades,Rajasthan,Urban,High,0,0,0,20,4,26,4,2,2
Business,Punjab,Urban,High,0,0,0,7,8,2,3,5,3
Creative Arts,Maharashtra,Urban,High,2,0,0,8,10,5,7,4,3
Data Science,Delhi,Rural,Medium,5,88,2,8,12,0,1,4,4
Creative Arts,Punjab,Urban,High,1,0,0,17,8,3,0,0,3
Business,West Bengal,Urban,High,0,0,1,8,13,1,0,3,2
Technology,Gujarat,Rural,Medium,7,170,2,6,13,0,1,5,2
Data Science,Karnataka,Semi-Urban,High,9,104,4,9,13,0,4,0,5
Creative Arts,Gujarat,Urban,High,1,0,0,12,10,7,3,0,3
Data Science,Telangana,Urban,High,7,87,3,5,20,0,6,5,0
Social & Community Work,Rajasthan,Urban,High,0,0,0,7,15,20,4,4,2
Creative Arts,Maharashtra,Urban,High,1,0,0,18,8,3,1,2,4
Social & Community Work,Tamil Nadu,Urban,High,0,0,0,10,5,13,3,2,2
Social & Community Work,Tamil Nadu,Urban,Medium,0,0,0,10,10,25,4,2,5
Technology,Other,Urban,High,4,157,1,3,16,1,3,7,2
Technology,Madhya Pradesh,Rural,Low,13,165,3,5,13,0,2,1,2
Data Science,Other,Semi-Urban,High,4,88,3,6,19,0,3,2,5
Social & Community Work,Maharashtra,Rural,Low,0,0,0,8,9,14,5,0,0
Social & Community Work,Odisha,Semi-Urban,High,0,0,0,17,3,23,0,3,1
Data Science,Tamil Nadu,Rural,Low,7,100,2,6,16,0,3,2,1
Technology,Uttar Pradesh,Urban,High,13,175,0,4,10,0,3,2,1
Skilled Trades,Delhi,Urban,High,0,0,0,11,7,13,1,2,0
Data Science,Maharashtra,Urban,High,6,97,5,6,23,0,4,2,1
Technology,West Bengal,Rural,Low,8,179,0,3,10,2,5,7,5
Skilled Trades,Tamil Nadu,Rural,Low,0,0,0,12,4,19,3,7,3
Skilled Trades,Karnataka,Rural,Low,0,0,0,17,4,30,4,3,2
Business,Delhi,Semi-Urban,Low,0,0,0,11,8,0,4,6,2
Creative Arts,Madhya Pradesh,Rural,Low,1,0,0,9,5,7,2,2,3
Business,Other,Urban,High,0,0,0,10,9,4,0,1,4
Skilled Trades,Rajasthan,Urban,Medium,0,0,0,14,6,16,1,4,0
Data Science,Uttar Pradesh,Urban,Low,8,109,5,8,11,0,6,5,2
Data Science,Tamil Nadu,Urban,Medium,2,87,9,6,26,0,3,2,3
Skilled Trades,Bihar,Urban,High,0,0,0,17,2,23,4,3,3
Technology,Other,Urban,High,7,150,5,2,16,1,5,4,1
Data Science,Uttar Pradesh,Semi-Urban,High,5,111,2,6,21,0,5,3,2
Skilled Trades,Other,Urban,Medium,0,0,0,18,4,17,3,0,3
Skilled Trades,Maharashtra,Rural,Low,0,0,0,19,7,24,3,4,0
Skilled Trades,Rajasthan,Urban,High,0,0,0,15,8,14,2,4,2
Technology,Tamil Nadu,Urban,High,7,137,1,5,20,2,1,8,1
Business,Gujarat,Semi-Urban,High,0,0,2,11,14,5,0,5,2
Data Science,West Bengal,Urban,High,3,105,6,6,16,0,4,2,2
Technology,Maharashtra,Urban,High,4,143,5,6,8,0,2,3,4
Data Science,Uttar Pradesh,Urban,Medium,6,96,3,12,16,0,3,2,1
Data Science,Punjab,Rural,High,4,96,3,9,18,0,5,3,2
Social & Community Work,Maharashtra,Semi-Urban,Medium,0,0,0,7,10,13,5,6,4
Technology,West Bengal,Urban,High,12,140,4,3,19,1,1,7,2
Business,Odisha,Urban,High,0,0,2,9,9,3,2,3,0
Business,Delhi,Rural,Low,0,0,0,7,7,2,3,1,2
Skilled Trades,Tamil Nadu,Urban,High,0,0,0,21,6,6,4,7,1
Technology,Other,Semi-Urban,Medium,5,138,2,6,21,1,6,4,0
Data Science,Delhi,Rural,Low,7,98,6,4,17,0,5,6,0
Skilled Trades,Rajasthan,Rural,Low,0,0,0,17,7,18,0,4,1
Skilled Trades,Delhi,Urban,High,0,0,0,9,4,20,2,5,0
Skilled Trades,Kerala,Semi-Urban,Low,0,0,0,9,6,23,2,2,2
Data Science,Bihar,Rural,Low,5,103,3,7,34,0,4,3,2
Skilled Trades,Uttar Pradesh,Urban,Low,0,0,0,15,6,27,5,1,0
Data Science,Kerala,Rural,Medium,5,100,6,10,12,0,2,3,0
Technology,Tamil Nadu,Semi-Urban,Low,3,149,0,4,19,0,4,3,1
Technology,Madhya Pradesh,Urban,High,4,153,1,4,10,1,6,3,5
Creative Arts,Maharashtra,Urban,High,0,0,0,16,15,9,6,1,3
Technology,Gujarat,Semi-Urban,Low,5,134,1,5,6,0,5,4,4
Social & Community Work,Other,Urban,Medium,0,0,0,7,2,11,2,2,5
Business,Telangana,Urban,High,0,0,0,11,9,1,3,2,1
Data Science,Rajasthan,Semi-Urban,Medium,8,89,2,4,22,0,1,5,2
Business,Gujarat,Semi-Urban,Medium,0,0,0,7,9,1,0,6,2
Creative Arts,West Bengal,Rural,Low,1,0,0,15,16,9,0,1,0
Business,Delhi,Rural,Low,0,0,3,10,7,1,0,1,2
Skilled Trades,Telangana,Semi-Urban,Low,0,0,0,18,3,9,2,3,1
Technology,Other,Urban,Medium,6,139,5,3,14,3,6,1,1
Business,West Bengal,Urban,High,0,0,0,4,4,2,2,1,3
Business,West Bengal,Rural,Low,0,0,2,8,7,3,2,3,4
Social & Community Work,Other,Rural,High,0,0,0,15,3,10,6,2,1
Creative Arts,Bihar,Semi-Urban,Low,1,0,0,13,16,4,2,0,2
Data Science,Odisha,Semi-Urban,Low,5,120,1,5,20,0,2,1,3
Business,Telangana,Urban,High,0,0,1,11,14,1,3,3,1
Business,Odisha,Urban,High,0,0,1,11,5,2,5,3,4
Business,Punjab,Urban,High,0,0,1,12,12,2,2,2,3
Social & Community Work,Telangana,Semi-Urban,Medium,0,0,0,10,6,17,5,4,1
Data Science,Punjab,Rural,Medium,6,105,1,6,11,0,2,1,1
Business,Odisha,Semi-Urban,High,0,0,1,8,12,2,1,4,2
Creative Arts,Rajasthan,Rural,Low,2,0,0,14,12,7,3,2,2
Business,Other,Rural,Medium,0,0,2,5,7,0,4,4,3
Data Science,Punjab,Rural,Medium,3,112,3,3,18,0,2,5,0
Technology,Rajasthan,Urban,High,5,151,2,5,12,0,1,7,2
Social & Community Work,West Bengal,Semi-Urban,Medium,0,0,0,13,7,18,2,5,4
Technology,Tamil Nadu,Rural,Low,5,141,0,6,18,0,4,0,1
Skilled Trades,Uttar Pradesh,Semi-Urban,Medium,0,0,0,14,5,18,2,0,2
Social & Community Work,Uttar Pradesh,Rural,Medium,0,0,0,12,4,8,3,4,2
Business,Odisha,Rural,Low,0,0,0,6,4,1,0,4,0
Business,Bihar,Urban,High,0,0,1,4,11,1,2,1,3
Social & Community Work,Uttar Pradesh,Urban,High,0,0,0,8,8,18,1,1,1
Business,Gujarat,Urban,Low,0,0,3,10,16,3,5,5,2
Data Science,Karnataka,Rural,Medium,6,81,3,5,18,0,2,4,2
Data Science,Karnataka,Semi-Urban,High,2,112,3,4,23,0,0,2,1
Technology,Tamil Nadu,Urban,High,4,149,1,3,25,4,4,5,3
Creative Arts,Telangana,Semi-Urban,Medium,2,0,0,14,14,6,1,5,2
Data Science,Delhi,Semi-Urban,High,6,108,2,6,16,0,3,6,3
Business,Maharashtra,Semi-Urban,Medium,0,0,2,12,12,2,0,1,2
Technology,Uttar Pradesh,Rural,Medium,6,150,0,8,15,1,3,4,1
Skilled Trades,Karnataka,Urban,Low,0,0,0,11,5,22,2,6,1
Skilled Trades,Uttar Pradesh,Semi-Urban,High,0,0,0,14,2,24,4,0,3
Skilled Trades,Madhya Pradesh,Urban,High,0,0,0,13,4,21,1,5,2
Business,Gujarat,Rural,Low,0,0,0,6,6,1,0,3,3
Skilled Trades,Bihar,Semi-Urban,High,0,0,0,14,5,19,1,0,4
Creative Arts,Punjab,Urban,High,0,0,0,7,15,1,5,3,3
Business,Bihar,Urban,Low,0,0,0,5,12,1,5,4,4
Business,Kerala,Rural,High,0,0,1,8,7,3,0,2,2
Business,Telangana,Rural,Low,0,0,2,5,10,0,2,3,3
Data Science,Odisha,Urban,High,2,102,1,7,18,0,4,3,3
Data Science,Madhya Pradesh,Urban,High,6,94,4,5,15,0,5,3,4
Data Science,Odisha,Semi-Urban,Medium,7,92,4,4,21,0,3,3,4
Social & Community Work,Madhya Pradesh,Urban,High,0,0,0,11,6,17,3,2,5
Business,Telangana,Urban,High,0,0,1,6,3,2,4,5,0
Skilled Trades,Bihar,Semi-Urban,High,0,0,0,16,5,23,2,3,2
Data Science,Karnataka,Rural,Low,4,110,2,10,19,0,1,2,3
Creative Arts,Madhya Pradesh,Rural,Medium,1,5000,0,0,0,6,5,2,2
Skilled Trades,Bihar,Semi-Urban,Medium,0,0,0,18,3,13,3,3,1
Social & Community Work,Delhi,Semi-Urban,Medium,0,0,0,8,7,13,4,1,3
Skilled Trades,Gujarat,Urban,High,0,0,0,16,6,21,0,2,2
Business,Karnataka,Rural,High,0,0,3,6,8,4,3,3,2
Social & Community Work,Telangana,Urban,High,0,0,0,8,9,16,3,4,3
Social & Community Work,Gujarat,Urban,High,0,0,0,13,12,13,1,3,3
Business,Madhya Pradesh,Semi-Urban,High,0,0,3,5,11,1,2,3,4
Skilled Trades,Maharashtra,Semi-Urban,Low,0,0,0,15,4,21,3,3,0
Business,Gujarat,Urban,High,0,0,2,1,8,2,4,5,1
Business,Other,Rural,Medium,0,0,1,14,12,2,4,2,3
Business,Maharashtra,Urban,Medium,0,0,0,4,10,0,5,3,1
Skilled Trades,Rajasthan,Urban,High,0,0,0,15,2,13,2,5,2
Data Science,Bihar,Urban,High,4,107,3,4,18,0,5,0,1
Skilled Trades,Madhya Pradesh,Urban,High,0,0,0,13,0,17,2,4,1
Data Science,Punjab,Urban,High,3,113,4,8,27,0,0,1,3
Data Science,Telangana,Semi-Urban,Low,6,99,3,4,13,0,4,6,3
Skilled Trades,Karnataka,Rural,Medium,0,0,0,10,1,18,0,3,3
Technology,Tamil Nadu,Rural,Low,7,146,2,7,13,0,1,6,4
Social & Community Work,Odisha,Semi-Urban,Medium,0,0,0,11,11,16,2,3,3
Technology,Delhi,Semi-Urban,Low,11,157,0,3,4,0,0,3,4
Creative Arts,Telangana,Semi-Urban,High,1,0,0,13,10,6,5,0,1
Creative Arts,Kerala,Urban,High,1,0,0,11,12,4,4,2,1
Business,West Bengal,Urban,High,0,0,2,4,9,2,4,1,1
Business,Telangana,Urban,High,0,0,2,7,4,4,3,5,2
Creative Arts,Uttar Pradesh,Urban,High,0,0,0,15,12,5,0,4,3
Data Science,Rajasthan,Urban,Low,5,102,2,8,17,0,5,1,2
Creative Arts,Delhi,Semi-Urban,Low,0,0,0,12,11,7,2,4,1
Social & Community Work,Other,Semi-Urban,Medium,0,0,0,7,8,22,5,2,4
Creative Arts,Bihar,Urban,High,1,0,0,13,8,1,1,5,3
Creative Arts,Bihar,Semi-Urban,Low,0,0,0,13,12,3,3,1,0
Skilled Trades,Maharashtra,Urban,Medium,0,5000,0,0,0,18,3,1,0
Creative Arts,Gujarat,Semi-Urban,Medium,2,0,0,16,17,8,0,3,1
Social & Community Work,Karnataka,Semi-Urban,Medium,0,0,0,15,8,13,4,1,0
Creative Arts,Kerala,Urban,High,2,0,0,7,15,2,2,4,2
Skilled Trades,Maharashtra,Semi-Urban,High,0,0,0,9,2,10,4,6,4
Technology,Maharashtra,Urban,High,8,151,1,5,20,0,4,2,4
Technology,Kerala,Urban,High,8,140,1,4,19,1,2,3,4
Technology,Other,Semi-Urban,Medium,11,159,0,2,17,1,7,2,3
Skilled Trades,Telangana,Urban,High,0,0,0,14,3,13,1,4,1
Skilled Trades,Uttar Pradesh,Urban,High,0,0,0,10,3,17,4,1,3
Skilled Trades,Maharashtra,Semi-Urban,Low,0,0,0,15,2,21,2,3,3
Technology,Maharashtra,Rural,Medium,5,152,0,4,13,1,1,4,2
Social & Community Work,Uttar Pradesh,Semi-Urban,High,0,0,0,9,14,20,0,7,1
Data Science,Odisha,Urban,Medium,4,100,3,3,20,0,4,4,1
Social & Community Work,Rajasthan,Semi-Urban,Medium,0,0,0,5,6,17,1,5,3
Skilled Trades,Punjab,Semi-Urban,Medium,0,0,0,9,5,22,0,3,1
Creative Arts,Uttar Pradesh,Urban,High,1,0,0,12,10,3,5,0,2
Creative Arts,Tamil Nadu,Semi-Urban,Medium,1,0,0,15,19,6,2,2,1
Business,Telangana,Urban,High,0,0,2,11,1,1,0,5,0
Business,Bihar,Semi-Urban,Medium,0,0,1,7,16,1,0,4,1
Data Science,Delhi,Semi-Urban,High,5,103,0,4,15,0,1,1,3
Technology,Telangana,Urban,Medium,4,136,0,4,16,0,1,7,3
Creative Arts,Tamil Nadu,Urban,High,0,0,0,18,17,3,3,2,9
Data Science,Karnataka,Rural,Low,4,97,3,3,24,0,5,2,6
Creative Arts,Punjab,Urban,High,1,0,0,11,17,4,3,2,2
Data Science,Kerala,Semi-Urban,Low,3,98,4,8,16,0,0,3,2
Business,Uttar Pradesh,Rural,Medium,0,0,1,8,8,1,0,7,0
Creative Arts,Tamil Nadu,Urban,High,1,0,0,8,14,7,0,4,2
Business,West Bengal,Rural,Low,0,0,0,5,11,1,6,4,3
Technology,Telangana,Urban,High,11,146,1,4,6,0,0,3,2
Technology,Maharashtra,Rural,Medium,6,161,3,3,16,0,2,1,3
Business,Madhya Pradesh,Semi-Urban,Low,0,0,0,9,8,2,2,3,3
Skilled Trades,Madhya Pradesh,Rural,Low,0,0,0,11,6,23,0,2,0
Skilled Trades,Telangana,Urban,High,0,0,0,13,3,23,5,2,2
Business,Telangana,Rural,Low,0,0,2,5,10,2,2,4,1
Creative Arts,Karnataka,Urban,High,3,0,0,12,18,4,2,4,1
Creative Arts,Delhi,Semi-Urban,High,0,0,0,14,10,6,1,2,1
Skilled Trades,Tamil Nadu,Rural,Low,0,0,0,14,0,17,1,4,2
Business,Tamil Nadu,Urban,High,0,0,0,8,11,2,6,5,2
Business,Gujarat,Semi-Urban,High,0,0,4,11,12,2,0,2,2
Creative Arts,Delhi,Semi-Urban,Low,1,0,0,10,9,3,1,4,2
Technology,Kerala,Urban,Medium,4,153,1,1,12,0,3,3,3
Skilled Trades,Kerala,Semi-Urban,Medium,0,0,0,17,2,17,3,4,2
Social & Community Work,Rajasthan,Semi-Urban,High,0,0,0,7,13,9,0,7,2
Technology,Other,Semi-Urban,High,6,157,2,2,15,0,7,1,0
Data Science,Other,Urban,High,3,91,3,5,27,0,1,1,2
Skilled Trades,Other,Urban,High,0,0,0,17,3,22,7,1,2
Technology,Maharashtra,Rural,Low,12,165,3,3,13,1,3,0,5
Social & Community Work,Uttar Pradesh,Semi-Urban,Medium,0,0,0,7,4,19,1,2,1
Business,Other,Urban,High,0,5000,1,0,0,3,6,3,4
Business,Rajasthan,Rural,Medium,0,0,1,3,10,2,3,3,1
Creative Arts,Bihar,Rural,Low,1,0,0,16,14,2,3,1,3
Business,Bihar,Semi-Urban,Low,0,0,0,11,11,1,6,5,1
Technology,Maharashtra,Semi-Urban,Medium,3,163,2,4,12,2,9,2,2
Social & Community Work,Punjab,Rural,Low,0,0,0,6,16,19,2,0,2
Social & Community Work,Maharashtra,Semi-Urban,Medium,0,0,0,6,2,16,4,1,4
Data Science,Bihar,Semi-Urban,Medium,3,98,6,3,27,0,1,1,1
Technology,Kerala,Rural,Low,7,143,6,3,17,2,2,2,2
Social & Community Work,Kerala,Rural,Low,0,0,0,7,5,10,4,3,1
Skilled Trades,Rajasthan,Urban,Medium,0,0,0,16,7,17,2,7,3
Technology,Tamil Nadu,Rural,Medium,13,158,1,5,15,1,2,2,1
Business,Gujarat,Rural,Low,0,0,0,6,9,2,5,4,3
Technology,Karnataka,Semi-Urban,Medium,7,162,1,8,2,0,2,2,1
Technology,Delhi,Urban,High,9,133,2,6,13,0,3,5,2
Data Science,Other,Urban,High,4,107,5,4,19,0,1,2,5
Data Science,Odisha,Rural,Low,2,103,4,6,20,0,1,2,2
Creative Arts,Karnataka,Semi-Urban,High,0,0,0,13,15,4,1,4,1
Technology,Karnataka,Rural,Low,5,157,0,10,14,1,3,4,3
Social & Community Work,Delhi,Semi-Urban,Low,0,0,0,17,9,10,0,2,1
Creative Arts,Delhi,Urban,High,1,0,0,9,14,4,2,5,3
Creative Arts,Telangana,Semi-Urban,High,0,0,0,14,12,7,3,4,4
Social & Community Work,Gujarat,Urban,High,0,0,0,13,7,15,2,3,1
Data Science,Telangana,Semi-Urban,Low,10,95,5,5,19,0,4,5,1
Technology,Gujarat,Semi-Urban,High,8,135,4,5,12,0,0,3,4
Creative Arts,Bihar,Urban,High,1,0,0,14,10,2,4,4,3
Data Science,Other,Urban,High,3,90,1,8,16,0,2,4,2
Social & Community Work,Rajasthan,Semi-Urban,High,0,0,0,12,5,10,4,3,1
Business,West Bengal,Semi-Urban,Low,0,0,1,2,10,2,1,3,3
Data Science,Rajasthan,Semi-Urban,High,3,104,1,3,28,0,5,4,3
Skilled Trades,West Bengal,Rural,Medium,0,0,0,15,6,16,5,8,0
Business,Odisha,Semi-Urban,High,0,0,1,9,7,3,2,2,1
Data Science,Karnataka,Urban,High,10,119,2,7,23,0,3,2,3
Creative Arts,Uttar Pradesh,Rural,Low,1,0,0,10,17,3,0,4,0
Social & Community Work,Karnataka,Urban,High,0,0,0,3,11,14,1,4,2
Social & Community Work,Karnataka,Semi-Urban,Medium,0,0,0,17,4,13,2,3,3
Creative Arts,Maharashtra,Urban,High,4,0,0,16,8,2,4,4,1
Business,Odisha,Urban,High,0,0,0,7,12,0,0,4,3
Data Science,Bihar,Rural,Medium,1,95,3,7,26,0,6,2,1
Technology,Punjab,Rural,Low,6,163,4,2,11,3,4,3,4
Data Science,Madhya Pradesh,Urban,High,8,107,6,15,24,0,2,2,1
Data Science,West Bengal,Urban,High,2,95,1,6,19,0,4,2,3
Creative Arts,Bihar,Urban,High,1,5000,0,0,0,4,6,0,1
Data Science,Kerala,Rural,Medium,5,93,4,9,19,0,3,1,2
Social & Community Work,Madhya Pradesh,Rural,Low,0,0,0,9,8,18,1,3,2
Skilled Trades,Other,Urban,High,0,0,0,17,6,16,2,5,2
Skilled Trades,Kerala,Rural,Low,0,0,0,16,4,24,3,6,2
Social & Community Work,Delhi,Rural,Low,0,0,0,6,6,11,5,3,5
Business,Odisha,Urban,High,0,0,1,5,6,2,3,4,0
Skilled Trades,West Bengal,Semi-Urban,High,0,0,0,17,1,15,3,3,1
Technology,Gujarat,Semi-Urban,Low,11,155,3,3,14,1,0,2,0
Data Science,Punjab,Semi-Urban,Medium,9,101,5,4,17,0,4,1,4
Technology,Other,Rural,Low,10,151,1,5,21,0,1,2,2
Skilled Trades,Punjab,Semi-Urban,Medium,0,0,0,17,5,17,4,1,0
Social & Community Work,Punjab,Rural,Low,0,0,0,10,0,16,7,3,4
Technology,West Bengal,Urban,Medium,10,144,0,2,18,1,1,0,2
Data Science,Madhya Pradesh,Semi-Urban,High,5,107,4,7,17,0,2,4,1
Skilled Trades,Kerala,Rural,Medium,0,0,0,19,5,19,0,5,2
Data Science,Telangana,Urban,High,4,109,6,8,20,0,1,2,0
Business,Uttar Pradesh,Urban,High,0,0,2,7,9,0,1,4,3
Data Science,Punjab,Semi-Urban,Low,4,98,2,6,16,0,1,2,2
Technology,Madhya Pradesh,Semi-Urban,Low,7,138,3,3,22,1,1,5,1
Skilled Trades,Rajasthan,Semi-Urban,Medium,0,0,0,14,5,18,1,0,0
Skilled Trades,Karnataka,Rural,Low,0,0,0,15,8,16,3,3,3
Social & Community Work,Maharashtra,Rural,Low,0,0,0,16,3,16,0,3,0
Skilled Trades,Karnataka,Urban,High,0,0,0,14,5,14,1,2,3
Technology,Odisha,Semi-Urban,Medium,6,143,1,5,13,1,3,1,2
Business,Telangana,Urban,High,0,0,0,6,9,4,2,3,1
Data Science,Gujarat,Urban,High,4,126,3,8,16,0,0,5,2
Technology,Other,Semi-Urban,High,6,155,3,10,12,2,5,2,1
Skilled Trades,Punjab,Rural,Medium,0,0,0,19,0,14,5,1,2
Business,Uttar Pradesh,Rural,Low,0,0,1,4,5,2,2,3,0
Social & Community Work,Kerala,Rural,Low,0,0,0,7,8,16,4,1,2
Business,Uttar Pradesh,Urban,High,0,0,1,10,13,0,5,3,2
Skilled Trades,Kerala,Semi-Urban,Medium,0,0,0,12,2,16,0,4,1
Social & Community Work,Karnataka,Rural,Medium,0,0,0,12,4,5,3,4,1
Skilled Trades,Telangana,Urban,High,0,0,0,12,3,22,8,2,0
Business,Delhi,Rural,Low,0,0,1,6,10,4,1,4,4
Technology,Bihar,Rural,Low,6,155,3,4,18,3,4,5,2
Skilled Trades,Odisha,Urban,High,0,0,0,12,5,18,3,0,1
Data Science,Rajasthan,Semi-Urban,Medium,3,84,1,10,27,0,2,3,2
Technology,Delhi,Rural,Low,11,132,2,3,21,1,7,5,4
Business,Karnataka,Urban,High,0,0,1,3,6,0,1,4,1
Data Science,Delhi,Semi-Urban,Low,2,108,2,5,14,0,4,6,2
Creative Arts,Tamil Nadu,Semi-Urban,Medium,2,0,0,14,12,6,2,1,4
Data Science,Delhi,Urban,High,2,99,0,3,22,0,3,4,4
Creative Arts,Karnataka,Urban,High,3,0,0,10,10,8,0,2,3
Creative Arts,Uttar Pradesh,Rural,Low,0,0,0,8,16,5,5,2,2
Skilled Trades,Punjab,Urban,Medium,0,0,0,12,4,20,0,3,4
Skilled Trades,Kerala,Urban,High,0,0,0,15,4,21,0,5,1
Business,West Bengal,Urban,High,0,0,2,8,11,1,0,2,4
Business,Delhi,Urban,High,0,0,2,2,11,0,3,4,3
Technology,Karnataka,Semi-Urban,Low,10,144,1,4,17,1,2,1,1
Creative Arts,Punjab,Urban,High,2,0,0,15,6,6,4,3,0
Business,Uttar Pradesh,Urban,Medium,0,0,1,5,4,1,2,2,2
Skilled Trades,Other,Urban,High,0,0,0,16,5,28,1,5,1
Technology,Maharashtra,Rural,Medium,8,161,1,4,18,0,1,4,3
Business,Telangana,Semi-Urban,High,0,0,2,13,4,2,0,3,1
Business,Rajasthan,Urban,High,0,0,2,13,3,0,0,2,3
Data Science,Uttar Pradesh,Rural,Medium,6,105,4,3,22,0,0,4,2
Skilled Trades,Maharashtra,Urban,High,0,0,0,14,4,17,4,5,4
Skilled Trades,West Bengal,Urban,High,0,0,0,21,5,20,5,2,1
Technology,Gujarat,Urban,High,12,158,1,6,6,1,3,1,0
Creative Arts,Tamil Nadu,Rural,Low,2,0,0,16,19,7,5,2,2
Technology,Uttar Pradesh,Semi-Urban,High,9,162,4,8,17,1,7,5,2
Data Science,Gujarat,Urban,Medium,4,76,4,7,19,0,4,1,5
Skilled Trades,Delhi,Urban,Medium,0,0,0,18,6,30,3,4,3
Social & Community Work,Bihar,Urban,Low,0,0,0,9,5,17,2,2,3
Business,Kerala,Urban,High,0,0,1,5,6,1,1,4,3
Social & Community Work,Uttar Pradesh,Rural,Medium,0,0,0,14,6,12,1,3,4
Social & Community Work,Bihar,Urban,Medium,0,0,0,9,4,18,2,3,3
Skilled Trades,Uttar Pradesh,Rural,High,0,0,0,18,5,18,7,4,7
Data Science,Uttar Pradesh,Semi-Urban,Low,5,106,3,5,19,0,0,5,1
Social & Community Work,Other,Urban,High,0,0,0,10,7,14,0,3,1
Data Science,Punjab,Urban,High,7,107,2,6,14,0,3,2,2
Business,West Bengal,Urban,High,0,0,2,10,10,4,2,2,2
Data Science,Karnataka,Semi-Urban,Medium,6,87,0,3,21,0,0,3,0
Skilled Trades,Madhya Pradesh,Rural,Low,0,0,0,10,7,23,5,4,1
Business,Uttar Pradesh,Rural,Low,0,0,1,10,10,3,1,4,1
Social & Community Work,Delhi,Urban,High,0,0,0,9,7,14,5,4,2
Social & Community Work,Uttar Pradesh,Semi-Urban,Medium,0,0,0,10,9,17,0,4,2
Technology,Madhya Pradesh,Semi-Urban,High,6,143,1,2,22,2,0,3,2
Business,Other,Urban,High,0,0,0,11,7,3,6,2,4
Business,Madhya Pradesh,Urban,High,0,0,1,9,3,0,6,5,3
Business,Bihar,Rural,Low,0,0,0,6,10,1,6,2,3
Data Science,Bihar,Urban,Medium,4,105,2,3,22,0,1,1,5
Technology,Kerala,Urban,High,13,151,2,8,7,1,2,5,2
Business,Kerala,Urban,High,0,0,1,10,11,2,0,4,2
Technology,Gujarat,Rural,Low,10,137,1,4,10,1,0,7,5
Technology,Uttar Pradesh,Urban,High,6,151,1,3,11,1,1,1,4
Data Science,Tamil Nadu,Semi-Urban,Medium,7,90,5,6,17,0,2,2,2
Social & Community Work,Odisha,Urban,Medium,0,0,0,7,5,14,5,5,0
Skilled Trades,Uttar Pradesh,Urban,High,0,0,0,12,2,23,3,3,2
Creative Arts,Tamil Nadu,Urban,High,0,0,0,13,6,11,4,4,1
Data Science,Bihar,Semi-Urban,High,5,107,5,5,20,0,4,1,1
Skilled Trades,Odisha,Urban,High,0,0,0,17,2,15,2,1,2
Data Science,Gujarat,Semi-Urban,High,4,106,2,6,19,0,1,4,1
Technology,Rajasthan,Urban,High,8,170,1,9,13,0,2,2,3
Technology,Tamil Nadu,Urban,High,8,157,1,4,15,0,3,1,3
Creative Arts,Odisha,Rural,Medium,0,0,0,13,14,2,0,2,3
Social & Community Work,Other,Urban,High,0,0,0,18,7,13,3,1,1
Social & Community Work,Uttar Pradesh,Semi-Urban,Medium,0,0,0,10,11,13,4,2,3
Business,Karnataka,Urban,High,0,0,1,5,10,1,6,3,3
Creative Arts,Uttar Pradesh,Urban,High,1,0,0,17,11,6,1,2,2
Technology,Bihar,Rural,Low,5,145,2,10,12,0,6,6,6
Skilled Trades,Karnataka,Urban,High,0,0,0,8,10,18,1,3,3
Social & Community Work,Other,Urban,High,0,0,0,9,3,10,2,0,4
Skilled Trades,Tamil Nadu,Semi-Urban,Medium,0,0,0,15,4,23,6,2,1
